epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974,0.0110215907916426,0.1072259992361068,0.026624197140336,0.1572005301713943
1,0.0010000000474974,0.0077175567857921,0.0899378210306167,0.0240212362259626,0.1475494354963302
2,0.0010000000474974,0.007171690929681,0.0861352831125259,0.0175389591604471,0.1196581274271011
3,0.0010000000474974,0.0068774293176829,0.0842305272817611,0.0146338129416108,0.1067030951380729
4,0.0010000000474974,0.006756302434951,0.0832667723298072,0.0106982868164777,0.1047224625945091
5,0.0010000000474974,0.0064689796417951,0.0812203511595726,0.0117095960304141,0.1041446849703788
6,0.0010000000474974,0.0062652486376464,0.0798636674880981,0.0108709344640374,0.1049849539995193
7,0.0010000000474974,0.0061411722563207,0.0793313086032867,0.0105646690353751,0.0953676104545593
8,0.0010000000474974,0.0059266840107738,0.0775842443108558,0.0108486032113432,0.0953471809625625
9,0.0010000000474974,0.0058558783493936,0.0771838873624801,0.0108213238418102,0.0950049608945846
10,0.0010000000474974,0.0055987117812037,0.075483426451683,0.0110907182097435,0.1050647422671318
11,0.0010000000474974,0.0054569346830248,0.0744655430316925,0.0113842478021979,0.1039110049605369
12,0.0010000000474974,0.0053580333478748,0.0734536275267601,0.0131820552051067,0.1206782609224319
13,0.0010000000474974,0.0052248183637857,0.0726624652743339,0.0134553695097565,0.112916961312294
14,0.0010000000474974,0.0051039871759712,0.0718297138810157,0.0232913829386234,0.1707331240177154
15,0.0005000000237487,0.0048003941774368,0.0693887248635292,0.0137429917231202,0.1063589304685592
16,0.0005000000237487,0.0046618324704468,0.0684765502810478,0.0124212382361292,0.1142077222466468
17,0.0005000000237487,0.0045867310836911,0.0678278133273124,0.0117550827562808,0.0981595441699028
18,0.0005000000237487,0.0045010694302618,0.0670721381902694,0.0121842678636312,0.1004038453102111
19,0.0005000000237487,0.0044214888475835,0.0666882544755935,0.0118867708370089,0.1096355617046356
20,0.0005000000237487,0.0044272234663367,0.066360093653202,0.016172956675291,0.1417551338672638
21,0.0005000000237487,0.0043923421762883,0.0664765238761901,0.0135230710729956,0.1048108264803886
22,0.0002500000118743,0.0041812844574451,0.0645315870642662,0.0119765382260084,0.1020543500781059
