epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.011021590791642666,0.10722599923610687,0.026624197140336037,0.15720053017139435
1,0.0010000000474974513,0.007717556785792112,0.08993782103061676,0.02402123622596264,0.14754943549633026
2,0.0010000000474974513,0.007171690929681063,0.08613528311252594,0.01753895916044712,0.11965812742710114
3,0.0010000000474974513,0.0068774293176829815,0.08423052728176117,0.014633812941610813,0.10670309513807297
4,0.0010000000474974513,0.006756302434951067,0.08326677232980728,0.010698286816477776,0.10472246259450912
5,0.0010000000474974513,0.006468979641795158,0.0812203511595726,0.011709596030414104,0.10414468497037888
6,0.0010000000474974513,0.006265248637646437,0.07986366748809814,0.010870934464037418,0.10498495399951935
7,0.0010000000474974513,0.006141172256320715,0.07933130860328674,0.010564669035375118,0.09536761045455933
8,0.0010000000474974513,0.005926684010773897,0.07758424431085587,0.010848603211343288,0.09534718096256256
9,0.0010000000474974513,0.005855878349393606,0.07718388736248016,0.010821323841810226,0.09500496089458466
10,0.0010000000474974513,0.005598711781203747,0.07548342645168304,0.0110907182097435,0.1050647422671318
11,0.0010000000474974513,0.005456934683024883,0.0744655430316925,0.011384247802197933,0.10391100496053696
12,0.0010000000474974513,0.00535803334787488,0.0734536275267601,0.013182055205106735,0.12067826092243195
13,0.0010000000474974513,0.005224818363785744,0.07266246527433395,0.013455369509756565,0.112916961312294
14,0.0010000000474974513,0.00510398717597127,0.07182971388101578,0.02329138293862343,0.17073312401771545
15,0.0005000000237487257,0.004800394177436829,0.0693887248635292,0.013742991723120213,0.10635893046855927
16,0.0005000000237487257,0.004661832470446825,0.06847655028104782,0.012421238236129284,0.11420772224664688
17,0.0005000000237487257,0.00458673108369112,0.06782781332731247,0.011755082756280899,0.0981595441699028
18,0.0005000000237487257,0.00450106943026185,0.06707213819026947,0.012184267863631248,0.10040384531021118
19,0.0005000000237487257,0.004421488847583532,0.06668825447559357,0.011886770837008953,0.10963556170463562
20,0.0005000000237487257,0.004427223466336727,0.06636009365320206,0.01617295667529106,0.1417551338672638
21,0.0005000000237487257,0.004392342176288366,0.06647652387619019,0.013523071072995663,0.10481082648038864
22,0.0002500000118743628,0.004181284457445145,0.0645315870642662,0.011976538226008415,0.10205435007810593
